en_original;bg_original;cs_original;da_original;de_original;el_original;es_original;et_original;fi_original;fr_original;hr_original;hu_original;it_original;lt_original;lv_original;mt_original;nl_original;pl_original;pt_original;ro_original;sk_original;sl_original;sv_original;no_original;is_original
selective recovery;селективно възстановяване;selektivní regenerace;selektiv genvinding;selektive Rückgewinnung;επιλεκτική ανάκτηση;recuperación selectiva;selektiivne taastamine;selektiivinen talteenotto;récupération sélective;selektivni oporavak;szelektív visszanyerés;recupero selettivo;selektyvus atgavimas;selektīva atgūšana;rkupru selettiv;selectieve terugwinning;selektywne odzyskiwanie;recuperação seletiva;recuperare selectivă;selektívne zhodnotenie;selektivno pridobivanje;selektiv återvinning;selektiv gjenvinning;valbundin endurheimt
specific concentration limit;специфична концентрационна граница;specifický koncentrační limit;specifik koncentrationsgrænse;spezifische Konzentrationsgrenze;ειδικό όριο συγκέντρωσης;límite de concentración específico;spetsiifiline kontsentratsioonipiirang;erityinen pitoisuusraja;limite de concentration spécifique;specifična koncentracijska granica;specifikus koncentrációs határérték;limite di concentrazione specifico;specifinė koncentracijos riba;specifiska koncentrācijas robeža;limitu ta' konċentrazzjoni speċifiku;specifieke concentratiegrens;specyficzny limit stężenia;limite de concentração específico;limita specifică de concentrație;špecifický koncentračný limit;specifična mejna koncentracija;specifik koncentrationsgräns;spesifikk konsentrasjonsgrense;sérstakt styrkleikamörk
substance dataset;набор от данни за веществото;datová sada látky;stofdatasæt;Stoffdatensatz;σύνολο δεδομένων ουσίας;conjunto de datos de la sustancia;aine andmekogum;aineen tietokanta;ensemble de données sur la substance;skup podataka o tvari;anyag adatállomány;dataset della sostanza;medžiagos duomenų rinkinys;vielas datu kopums;sett ta' data tas-sustanza;stofdataset;zbiór danych substancji;conjunto de dados da substância;set de date despre substanță;databáza látok;nabor podatkov o snovi;ämnesdatamängd;stoffdatasett;efnagagnasafn
substance subject to registration;вещество, подлежащо на регистрация;látka podléhající registraci;stof, der er underlagt registrering;registrierungspflichtiger Stoff;ουσία που υπόκειται σε καταχώριση;sustancia sujeta a registro;registreerimisele kuuluv aine;rekisteröitävä aine;substance soumise à enregistrement;tvar podložna registraciji;regisztráció alá eső anyag;sostanza soggetta a registrazione;registruojama medžiaga;reģistrācijai pakļauta viela;sustanza suġġetta għal reġistrazzjoni;stof onderworpen aan registratie;substancja podlegająca rejestracji;substância sujeita a registro;substanță supusă înregistrării;látka podliehajúca registrácii;snov, ki je predmet registracije;ämne som är föremål för registrering;stoff underlagt registrering;efni sem er háð skráningu
Technical Committee on Classification and Labelling;Технически комитет по класификация и етикетиране;Technický výbor pro klasifikaci a označování;Teknisk Komité for Klassificering og Mærkning;Technischer Ausschuss für Einstufung und Kennzeichnung;Τεχνική Επιτροπή για την Ταξινόμηση και Επισήμανση;Comité Técnico de Clasificación y Etiquetado;Tehniline komitee klassifikatsiooni ja märgistuse alal;luokituksen ja merkintöjen tekninen komitea;Comité technique sur la classification et l'étiquetage;Tehnički odbor za klasifikaciju i označivanje;Műszaki Bizottság az Osztályozás és Címkézés területén;Comitato Tecnico per la Classificazione e l'Etichettatura;Klasifikavimo ir ženklinimo techninis komitetas;Tehniskā komiteja klasifikācijas un marķējuma jautājumos;Kumitat Tekniku dwar Klassifikazzjoni u Tikkettar;Technisch Comité voor Indeling en Etikettering;Komitet Techniczny ds. Klasyfikacji i Oznakowania;Comitê Técnico de Classificação e Rotulagem;Comitetul Tehnic pentru Clasificare și Etichetare;Technický výbor pre klasifikáciu a označovanie;Tehnični odbor za razvrščanje in označevanje;Tekniska kommittén för klassificering och märkning;Teknisk komité for klassifisering og merking;Tækninefnd um flokkun og merkingu
Title XI;Дял XI;Hlava XI;Titel XI;Titel XI;Τίτλος XI;Título XI;Peatükk XI;Otsikko XI;Titre XI;Naslov XI;XI. cím;Titolo XI;XI antraštinė dalis;XI sadaļa;Titolu XI;Titel XI;Tytuł XI;Título XI;Titlul XI;Hlava XI;Naslov XI;Titel XI;Tittel XI;Titill XI
waste;отпадък;odpad;affald;Abfall;απόβλητα;residuos;jäätmed;jäte;déchet;otpad;hulladék;rifiuti;atliekos;atkritumi;skart;afval;odpady;resíduo;deșeuri;odpad;odpadki;avfall;avfall;úrgangur
well defined substance;добре дефинирано вещество;dobře definovaná látka;veldefineret stof;gut definierter Stoff;καλά καθορισμένη ουσία;sustancia bien definida;hästi määratletud aine;hyvin määritelty aine;substance bien définie;dobro definirana tvar;jól meghatározott anyag;sostanza ben definita;gerai apibrėžta medžiaga;precīzi definēta viela;sustanza definita tajjeb;goed gedefinieerde stof;dobrze zdefiniowana substancja;substância bem definida;substanță bine definită;dobre definovaná látka;dobro opredeljena snov;väl definierat ämne;veldefinert stoff;vel skilgreint efni
technical completeness check;проверка за техническа пълнота;kontrola technické úplnosti;teknisk fuldstændighedskontrol;technische Vollständigkeitsprüfung;έλεγχος τεχνικής πληρότητας;verificación de la integridad técnica;tehnilise täielikkuse kontroll;tekninen täydellisyystarkastus;vérification de la complétude technique;provjera tehničke cjelovitosti;műszaki teljességi ellenőrzés;verifica della completezza tecnica;techninio išsamumo patikrinimas;tehniskās pilnības pārbaude;kontroll ta' komplutezza teknika;technische volledigheidscontrole;kontrola kompletności technicznej;verificação de completude técnica;verificarea completitudinii tehnice;kontrola technickej úplnosti;preverjanje tehnične popolnosti;teknisk fullständighetskontroll;teknisk fullstendighetssjekk;tæknilegt heildarpróf
Legal Entity Object;Обект на юридическо лице;Objekt právnické osoby;Juridisk Enhed Objekt;Rechtsträgerobjekt;Αντικείμενο Νομικής Οντότητας;Objeto de Entidad Legal;Juriidilise isiku objekt;Oikeushenkilöobjekti;Objet de l'entité juridique;Pravni subjekt;Jogi Személy Objektum;Oggetto Entità Legale;Juridinio asmens objektas;Juridiskās personas objekts;Oġġett ta' Entità Legali;Rechtspersoon Object;Obiekt Podmiotu Prawnego;Objeto de Entidade Legal;Obiectul Entității Juridice;Právny subjekt;Pravni subjekt;Juridisk enhetsobjekt;Juridisk enhetsobjekt;Lögpersónuhlutur
hazard classification;класификация на опасностите;klasifikace nebezpečnosti;fareklassificering;Gefahrenklassifizierung;ταξινόμηση κινδύνου;clasificación de peligros;ohtlikkuse klassifikatsioon;vaaraluokitus;classification des dangers;klasifikacija opasnosti;veszélyességi osztályozás;classificazione del pericolo;pavojingumo klasifikacija;bīstamības klasifikācija;klassifikazzjoni tal-periklu;gevarenindeling;klasyfikacja zagrożeń;classificação de perigo;clasificarea pericolelor;klasifikácia nebezpečnosti;razvrstitev nevarnosti;faroklassificering;fareklassifisering;hættu flokkun
exploding bomb;експлодираща бомба;výbušná bomba;eksploderende bombe;Explodierende Bombe;εκρηκτική βόμβα;bomba explotando;plahvatav pomm;räjähtävä pommi;bombe explosante;eksplodirajuća bomba;robbanó bomba;bomba che esplode;sprogstamasis užtaisas;sprāgstoša bumba;bomba li tisplodi;exploderende bom;bomba wybuchowa;bomba explodindo;bombă explozivă;výbušná bomba;eksplozivna bomba;exploderande bomb;eksploderende bombe;sprengjandi sprengja
flame;пламък;plamen;flamme;Flamme;φλόγα;llama;leek;liekki;flamme;plamen;láng;fiamma;liepsna;liesma;fjamma;vlam;płomień;chama;flacără;plameň;plamen;flamma;flamme;logi
flame over circle;пламък над кръг;plamen nad kruhem;flamme over cirkel;Flamme über Kreis;φλόγα πάνω από κύκλο;llama sobre círculo;leek ringi kohal;liekki ympyrän päällä;flamme sur cercle;plamen iznad kruga;láng kör felett;fiamma su cerchio;liepsna virš apskritimo;liesma virs apļa;fjamma fuq ċirku;vlam boven cirkel;płomień nad kołem;chama sobre círculo;flacără deasupra cercului;plameň nad kruhom;plamen nad krogom;flamma över cirkel;flamme over sirkel;logi yfir hring
gas cylinder;газова бутилка;plynová láhev;gasflaske;Gasflasche;κύλινδρος αερίου;botella de gas;gaasiballoon;kaasusylinteri;bouteille de gaz;plinska boca;gázpalack;bombola di gas;dujų balionas;gāzes balons;ċilindru tal-gass;gascilinder;butla z gazem;cilindro de gás;cilindru de gaz;plynová fľaša;plinska jeklenka;gasflaska;gassflaske;gashylki
corrosion;корозия;korozivní účinek;ætsning;Ätzwirkung;διάβρωση;corrosión;korrosioon;syövyttävyys;corrosion;korozija;korrozió;corrosione;korozija;korozija;korrużjoni;corrosie;korozja;corrosão;corozivitate;korózia;korozija;korrosion;korrosjon;tæring
skull and crossbones;череп и кости;lebka se zkříženými hnáty;dødningehoved og korslagte knogler;Totenkopf mit gekreuzten Knochen;κρανίο και οστά;calavera y tibias cruzadas;kolju ja ristatud luud;kallo ja ristiluut;tête de mort;lubanja i prekrižene kosti;halálfej és keresztcsontok;teschio e ossa incrociate;kaukolė ir sukryžiuoti kaulai;galvaskauss un sakrustoti kauli;kranju u għadam;schedel en gekruiste beenderen;czaszka i piszczele;caveira com ossos cruzados;craniu și oase încrucișate;lebka so skríženými hnátmi;lobanja s prekrižanima kostema;dödskalle och korslagda benknotor;hodeskalle og korsbein;hauskúpa og krossbein
exclamation mark;възклицателен знак;vykřičník;udråbstegn;Ausrufezeichen;θαυμαστικό;signo de exclamación;hüüumärk;huutomerkki;point d'exclamation;uzvičnik;felkiáltójel;punto esclamativo;šauktukas;izsaukuma zīme;sinjal ta' esklamazzjoni;uitroepteken;wykrzyknik;ponto de exclamação;semn de exclamare;výkričník;klicaj;utropstecken;utropstegn;upphrópunarmerki
health hazard;опасност за здравето;nebezpečí pro zdraví;sundhedsfare;Gesundheitsgefahr;κίνδυνος για την υγεία;peligro para la salud;terviseoht;terveysvaara;danger pour la santé;opasnost po zdravlje;egészségügyi veszély;pericolo per la salute;sveikatos pavojus;veselības apdraudējums;periklu għas-saħħa;gevaar voor de gezondheid;zagrożenie dla zdrowia;perigo para a saúde;pericol pentru sănătate;nebezpečenstvo pre zdravie;nevarnost za zdravje;hälsofara;helsefare;heilsuáhætta
environment;околна среда;životní prostředí;miljø;Umwelt;περιβάλλον;medio ambiente;keskkond;ympäristö;environnement;okoliš;környezet;ambiente;aplinka;vide;ambjent;milieu;środowisko;meio ambiente;mediu;životné prostredie;okolje;miljö;miljø;umhverfi
study summary;резюме на изследването;souhrn studie;studieresumé;Studienzusammenfassung;περίληψη μελέτης;resumen del estudio;uuringu kokkuvõte;tutkimuksen yhteenveto;résumé de l'étude;sažetak studije;tanulmány összefoglaló;riassunto dello studio;tyrimo santrauka;pētījuma kopsavilkums;sommarju tal-istudju;samenvatting van de studie;podsumowanie badania;resumo do estudo;rezumatul studiului;zhrnutie štúdie;povzetek študije;studiesammanfattning;studiesammendrag;samantekt rannsóknar
chemical substance;химично вещество;chemická látka;kemisk stof;chemische Substanz;χημική ουσία;sustancia química;keemiline aine;kemiallinen aine;substance chimique;kemijska tvar;kémiai anyag;sostanza chimica;cheminė medžiaga;ķīmiska viela;sustanza kimika;chemische stof;substancja chemiczna;substância química;substanță chimică;chemická látka;kemijska snov;kemiskt ämne;kjemisk stoff;efnasamband
substance identification;идентификация на веществото;identifikace látky;stofidentifikation;Stoffidentifizierung;ταυτοποίηση ουσίας;identificación de la sustancia;aine identifitseerimine;aineen tunnistaminen;identification de la substance;identifikacija tvari;anyag azonosítása;identificazione della sostanza;medžiagos identifikavimas;vielas identifikācija;identifikazzjoni tas-sustanza;identificatie van de stof;identyfikacja substancji;identificação da substância;identificarea substanței;identifikácia látky;identifikacija snovi;ämnesidentifiering;stoffidentifikasjon;auðkenning efnis
substance which occurs in nature;вещество, което се среща в природата;látka, která se vyskytuje v přírodě;stof, der forekommer i naturen;Stoff, der in der Natur vorkommt;ουσία που απαντάται στη φύση;sustancia que se encuentra en la naturaleza;looduses esinev aine;luonnossa esiintyvä aine;substance qui se produit dans la nature;tvar koja se pojavljuje u prirodi;természetben előforduló anyag;sostanza che si verifica in natura;medžiaga, kuri atsiranda gamtoje;vielas, kas sastopamas dabā;sustanza li sseħħ fin-natura;stof die in de natuur voorkomt;substancja występująca w naturze;substância que ocorre na natureza;substanță care apare în natură;látka, ktorá sa vyskytuje v prírode;snov, ki se pojavlja v naravi;ämne som förekommer i naturen;stoff som forekommer i naturen;efni sem kemur fyrir í náttúrunni
sunset date;дата на прекратяване;datum ukončení;udløbsdato;Ablaufdatum;ημερομηνία λήξης;fecha de expiración;lõpptähtaeg;päättymispäivä;date de retrait;datum prestanka;határidő;data di scadenza;galutinė data;aizlieguma datums;data tal-għeluq;vervaldatum;data zakończenia;data de expiração;data limită;dátum ukončenia;datum prenehanja;slutdatum;utløpsdato;lokadagur
supplier of a substance or a preparation;доставчик на вещество или препарат;dodavatel látky nebo přípravku;leverandør af et stof eller en blanding;Lieferant eines Stoffes oder einer Zubereitung;προμηθευτής ουσίας ή παρασκευάσματος;proveedor de una sustancia o una preparación;aine või valmistise tarnija;aineen tai valmisteen toimittaja;fournisseur d'une substance ou d'une préparation;dobavljač tvari ili pripravka;anyag vagy készítmény szállítója;fornitore di una sostanza o di una preparazione;medžiagos ar preparato tiekėjas;vielas vai preparāta piegādātājs;fornitur ta' sustanza jew preparazzjoni;leverancier van een stof of een preparaat;dostawca substancji lub preparatu;fornecedor de uma substância ou preparação;furnizorul unei substanțe sau al unei preparate;dodávateľ látky alebo prípravku;dobavitelj snovi ali pripravka;leverantör av ett ämne eller en beredning;leverandør av et stoff eller en blanding;birgir efnis eða blöndu
supplier of an article;доставчик на изделие;dodavatel výrobku;leverandør af en artikel;Lieferant eines Erzeugnisses;προμηθευτής αντικειμένου;proveedor de un artículo;toote tarnija;esineen toimittaja;fournisseur d'un article;dobavljač predmeta;tárgy szállítója;fornitore di un articolo;gaminio tiekėjas;izstrādājuma piegādātājs;fornitur ta' artiklu;leverancier van een voorwerp;dostawca wyrobu;fornecedor de um artigo;furnizorul unui articol;dodávateľ výrobku;dobavitelj izdelka;leverantör av en vara;leverandør av en gjenstand;birgir hlutar
structure-activity relationship;структурно-активна връзка;vztah struktura-aktivita;struktur-aktivitetsforhold;Struktur-Wirkungs-Beziehung;σχέση δομής-δραστηριότητας;relación estructura-actividad;struktuuri-aktiivsuse seos;rakenne-aktiivisuussuhde;relation structure-activité;odnos strukture i aktivnosti;szerkezet-aktivitás kapcsolat;relazione struttura-attività;struktūros ir aktyvumo ryšys;struktūras-aktivitātes attiecības;relazzjoni struttura-attività;structuur-activiteitsrelatie;związek struktura-aktywność;relação estrutura-atividade;relația structură-activitate;vzťah medzi štruktúrou a aktivitou;strukturno-aktivnostno razmerje;struktur-aktivitetsförhållande;struktur-aktivitetsforhold;byggingarvirkni samband
Substance Information Exchange Forum;Форум за обмен на информация за веществата;Fórum pro výměnu informací o látkách;Forum for informationsudveksling om stoffer;Stoffinformationsaustauschforum;Φόρουμ Ανταλλαγής Πληροφοριών για Ουσίες;Foro de Intercambio de Información sobre Sustancias;Aine Teabevahetuse Foorum;Aineiden tietojenvaihtofoorumi;Forum d'échange d'informations sur les substances;Forum za razmjenu informacija o tvarima;Anyaginformációs Csere Fórum;Forum di Scambio delle Informazioni sulle Sostanze;Medžiagos informacijos mainų forumas;Vielu informācijas apmaiņas forums;Forum għall-Iskambju ta' Informazzjoni dwar is-Sustanzi;Informatiewisselingsforum voor stoffen;Forum Wymiany Informacji o Substancjach;Fórum de Intercâmbio de Informações sobre Substâncias;Forumul de Schimb de Informații despre Substanțe;Fórum na výmenu informácií o látkach;Forum za izmenjavo informacij o snovi;Forum för informationsutbyte om ämnen;Forum for utveksling av stoffinformasjon;Upplýsingaskiptavettvangur um efni
substance of very high concern;вещество, пораждащо сериозно безпокойство;látka vzbuzující velmi velké obavy;stof, der giver anledning til meget store betænkeligheder;besonders besorgniserregender Stoff;ουσία πολύ υψηλής ανησυχίας;sustancia extremadamente preocupante;väga ohtlik aine;erittäin suuren huolen aiheuttava aine;substance extrêmement préoccupante;tvar koja izaziva vrlo veliku zabrinutost;nagyon nagy aggodalomra okot adó anyag;sostanza estremamente preoccupante;labai didelį susirūpinimą kelianti medžiaga;ļoti augstas bažas izraisoša viela;sustanza ta' tħassib għoli ħafna;zeer zorgwekkende stof;substancja wzbudzająca szczególnie duże obawy;substância de muito alta preocupação;substanță de mare îngrijorare;látka vzbudzujúca veľmi veľké obavy;snov, ki vzbuja veliko zaskrbljenost;ämne som inger mycket stora betänkligheter;stoff med svært høy bekymring;efni sem veldur miklum áhyggjum
substance of unknown or variable composition, complex reaction products or biological materials;вещество с неизвестен или променлив състав, сложни реакционни продукти или биологични материали;látka neznámého nebo proměnlivého složení, komplexní reakční produkty nebo biologické materiály;stof med ukendt eller variabel sammensætning, komplekse reaktionsprodukter eller biologiske materialer;Stoffe unbekannter oder variabler Zusammensetzung, komplexe Reaktionsprodukte oder biologische Materialien;ουσία άγνωστης ή μεταβλητής σύνθεσης, σύνθετα προϊόντα αντίδρασης ή βιολογικά υλικά;sustancia de composición desconocida o variable, productos de reacción complejos o materiales biológicos;tundmatu või muutuva koostisega aine, keerulised reaktsiooniproduktid või bioloogilised materjalid;tuntemattoman tai vaihtelevan koostumuksen omaava aine, monimutkaiset reaktiotuotteet tai biologiset materiaalit;substance de composition inconnue ou variable, produits de réaction complexes ou matériaux biologiques;tvar nepoznatog ili promjenjivog sastava, složeni reakcijski proizvodi ili biološki materijali;ismeretlen vagy változó összetételű anyag, összetett reakciótermékek vagy biológiai anyagok;sostanza di composizione sconosciuta o variabile, prodotti di reazione complessi o materiali biologici;nežinomos arba kintamos sudėties medžiaga, sudėtingi reakcijos produktai arba biologinės medžiagos;nezināmas vai mainīgas sastāva vielas, sarežģīti reakcijas produkti vai bioloģiski materiāli;sustanza ta' kompożizzjoni mhux magħrufa jew varjabbli, prodotti ta' reazzjoni kumplessi jew materjali bijoloġiċi;stof met onbekende of variabele samenstelling, complexe reactieproducten of biologische materialen;substancja o nieznanym lub zmiennym składzie, złożone produkty reakcji lub materiały biologiczne;substância de composição desconhecida ou variável, produtos de reação complexos ou materiais biológicos;substanță de compoziție necunoscută sau variabilă, produse de reacție complexe sau materiale biologice;látka neznámeho alebo variabilného zloženia, komplexné reakčné produkty alebo biologické materiály;snov neznane ali spremenljive sestave, kompleksni reakcijski proizvodi ali biološki materiali;ämne med okänd eller varierande sammansättning, komplexa reaktionsprodukter eller biologiska material;stoff med ukjent eller variabel sammensetning, komplekse reaksjonsprodukter eller biologiske materialer;efni með óþekkta eða breytilega samsetningu, flókin efnahvörf eða lífræn efni
T25;T25;T25;T25;T25;T25;T25;T25;T25;T25;T25;T25;T25;T25;T25;T25;T25;T25;T25;T25;T25;T25;T25;T25;T25
technical dossier;техническо досие;technická dokumentace;teknisk dossier;technisches Dossier;τεχνικός φάκελος;expediente técnico;tehniline toimik;tekninen asiakirja;dossier technique;tehnička dokumentacija;műszaki dosszié;fascicolo tecnico;techninis dokumentas;tehniskais dokuments;dossier tekniku;technisch dossier;dokumentacja techniczna;dossiê técnico;dosar tehnic;technická dokumentácia;tehnični dosje;teknisk dokumentation;teknisk dossier;tæknileg skýrsla
tentative exposure scenario;временен сценарий на експозиция;předběžný scénář expozice;foreløbig eksponeringsscenarie;vorläufiges Expositionsszenario;προσωρινό σενάριο έκθεσης;escenario de exposición tentativo;esialgne kokkupuute stsenaarium;alustava altistumisskenaario;scénario d'exposition provisoire;privremeni scenarij izloženosti;előzetes expozíciós forgatókönyv;scenario di esposizione provvisorio;preliminarus poveikio scenarijus;provizoriska iedarbības scenārijs;xenarju ta' espożizzjoni tentattiv;voorlopig blootstellingsscenario;tymczasowy scenariusz narażenia;cenário de exposição provisório;scenariu de expunere provizoriu;predbežný scenár expozície;začasni scenarij izpostavljenosti;preliminärt exponering scenario;foreløpig eksponeringsscenario;bráðabirgðaútsetningarsvið
testing proposal;предложение за изпитване;návrh na testování;forslag til testning;Prüfvorschlag;πρόταση δοκιμής;propuesta de ensayo;katse ettepanek;testausehdotus;proposition d'essai;prijedlog ispitivanja;vizsgálati javaslat;proposta di test;bandymų pasiūlymas;testēšanas priekšlikums;proposta ta' ttestjar;testvoorstel;propozycja badań;proposta de ensaio;propunere de testare;návrh na testovanie;predlog za testiranje;testförslag;testforslag;tillaga um prófun
tonnage threshold;праг на тонаж;prahová hodnota množství;mængdetærskel;Tonnageschwelle;όριο τόνου;umbral de tonelaje;tonnaaži künnis;tonnimäärän kynnysarvo;seuil de tonnage;prag tonaže;tonnatartomány küszöbértéke;soglia di tonnellaggio;tonų kiekio riba;tonnāžas slieksnis;limitu ta' tonnaġġ;tonnagegrens;próg tonażowy;limiar de tonelagem;prag de tonaj;hraničná hodnota tonáže;prag tonaže;tonnagetruöskel;tonnasjegrense;tonnatakmark
United Nations Environment Programme;Програма на ООН за околната среда;Program OSN pro životní prostředí;De Forenede Nationers Miljøprogram;Umweltprogramm der Vereinten Nationen;Πρόγραμμα Περιβάλλοντος των Ηνωμένων Εθνών;Programa de las Naciones Unidas para el Medio Ambiente;Ühinenud Rahvaste Organisatsiooni Keskkonnaprogramm;Yhdistyneiden Kansakuntien ympäristöohjelma;Programme des Nations Unies pour l'environnement;Program Ujedinjenih naroda za okoliš;Egyesült Nemzetek Környezetvédelmi Programja;Programma delle Nazioni Unite per l'Ambiente;Jungtinių Tautų aplinkos programa;Apvienoto Nāciju Organizācijas Vides programma;Programm Ambjentali tan-Nazzjonijiet Uniti;Milieuprogramma van de Verenigde Naties;Program Środowiskowy Narodów Zjednoczonych;Programa das Nações Unidas para o Meio Ambiente;Programul Națiunilor Unite pentru Mediu;Program OSN pre životné prostredie;Program Združenih narodov za okolje;Förenta nationernas miljöprogram;FNs miljøprogram;Umhverfisáætlun Sameinuðu þjóðanna
Universal Unique Identifier;Универсален уникален идентификатор;Univerzální jedinečný identifikátor;Universel entydig identifikator;Universelle eindeutige Kennung;Καθολικός Μοναδικός Αναγνωριστικός Κωδικός;Identificador Único Universal;Universaalne unikaalne identifikaator;Yleinen yksilöllinen tunniste;Identifiant Unique Universel;Univerzalni jedinstveni identifikator;Univerzális egyedi azonosító;Identificatore Unico Universale;Universalus unikalus identifikatorius;Universālais unikālais identifikators;Identifikatur Uniku Universali;Universele Unieke Identificator;Uniwersalny unikalny identyfikator;Identificador Único Universal;Identificator Unic Universal;Univerzálny jedinečný identifikátor;Univerzalni enolični identifikator;Universellt unikt identifierare;universell unik identifikator;Alheims einstakur auðkenni
Use Category;Категория на употреба;Kategorie použití;Brugskategori;Verwendungskategorie;Κατηγορία Χρήσης;Categoría de Uso;Kasutuskategooria;Käyttöluokka;Catégorie d'utilisation;Kategorija uporabe;Felhasználási kategória;Categoria d'Uso;Naudojimo kategorija;Lietošanas kategorija;Kategorija ta' Użu;Gebruikerscategorie;Kategoria użycia;Categoria de Uso;Categorie de Utilizare;Kategória použitia;Kategorija uporabe;Användningskategori;brukskategori;Notkunarflokkur
use;употреба;použití;brug;Verwendung;χρήση;uso;kasutamine;käyttö;utilisation;uporaba;felhasználás;uso;naudojimas;lietošana;użu;gebruik;użycie;uso;utilizare;použitie;uporaba;användning;bruk;nota
use and exposure category;категория на употреба и експозиция;kategorie použití a expozice;brugs- og eksponeringskategori;Verwendungs- und Expositionskategorie;κατηγορία χρήσης και έκθεσης;categoría de uso y exposición;kasutamise ja kokkupuute kategooria;käyttö- ja altistumiskategoria;catégorie d'utilisation et d'exposition;kategorija uporabe i izloženosti;felhasználási és expozíciós kategória;categoria d'uso e di esposizione;naudojimo ir poveikio kategorija;lietošanas un iedarbības kategorija;kategorija ta' użu u espożizzjoni;gebruik en blootstellingscategorie;kategoria użycia i narażenia;categoria de uso e exposição;categorie de utilizare și expunere;kategória použitia a expozície;kategorija uporabe in izpostavljenosti;användnings- och exponeringkategori;bruks- og eksponeringskategori;notkunar- og útsetningaflokkur
very persistent and very bioaccumulative;много устойчив и много биоакумулиращ;velmi perzistentní a velmi bioakumulativní;meget persistent og meget bioakkumulerende;sehr persistent und sehr bioakkumulierbar;πολύ ανθεκτικό και πολύ βιοσυσσωρεύσιμο;muy persistente y muy bioacumulable;väga püsiv ja väga bioakumuleeruv;erittäin pysyvä ja erittäin biokertyvä;très persistant et très bioaccumulable;vrlo postojan i vrlo bioakumulativan;nagyon perzisztens és nagyon bioakkumulatív;molto persistente e molto bioaccumulabile;labai patvarus ir labai bioakumuliacinis;ļoti noturīgs un ļoti bioakumulatīvs;persistenti ħafna u bijoakkumulattivi ħafna;zeer persistent en zeer bioaccumulerend;bardzo trwały i bardzo bioakumulatywny;muito persistente e muito bioacumulativo;foarte persistent și foarte bioacumulativ;veľmi perzistentný a veľmi bioakumulatívny;zelo obstojen in zelo bioakumulativen;mycket persistent och mycket bioackumulerande;svært persistent og svært bioakkumulerende;mjög viðvarandi og mjög lífssafnast
European Chemicals Agency;Европейска агенция по химикали;Evropská agentura pro chemické látky;Det Europæiske Kemikalieagentur;Europäische Chemikalienagentur;Ευρωπαϊκός Οργανισμός Χημικών Προϊόντων;Agencia Europea de Sustancias y Mezclas Químicas;Euroopa Kemikaaliamet;Euroopan kemikaalivirasto;Agence européenne des produits chimiques;Europska agencija za kemikalije;Európai Vegyianyag-ügynökség;Agenzia europea per le sostanze chimiche;Europos cheminių medžiagų agentūra;Eiropas Ķimikāliju aģentūra;Aġenzija Ewropea għall-Kimika;Europees Agentschap voor Chemische Stoffen;Europejska Agencja Chemikaliów;Agência Europeia dos Produtos Químicos;Agenția Europeană pentru Produse Chimice;Európska chemická agentúra;Evropska agencija za kemikalije;Europeiska kemikaliemyndigheten;Det europeiske kjemikaliebyrået;Evrópska efnafræðistofnunin
monomer unit;мономерна единица;monomerní jednotka;monomerenhed;Monomereinheit;μονάδα μονομερούς;unidad de monómero;monomeeriühik;monomeeriyksikkö;unité monomère;monomerska jedinica;monomer egység;unità monomerica;monomero vienetas;monomēra vienība;unità tal-monomeru;monomeereenheid;jednostka monomeru;unidade monomérica;unitate de monomer;monomérna jednotka;monomerna enota;monomerenhet;monomerenhet;einliða eining
non-isolated intermediate;неизолиран междинен продукт;neizolovaný meziprodukt;ikke-isoleret mellemprodukt;nicht isoliertes Zwischenprodukt;μη απομονωμένος ενδιάμεσος;intermedio no aislado;mitte-isoleeritud vaheühend;ei-eristetty välituote;intermédiaire non isolé;neizolirani međuproizvod;nem izolált intermedier;intermedio non isolato;neizoliuotas tarpinis produktas;neizolēts starpprodukts;intermedju mhux iżolat;niet-geïsoleerd tussenproduct;nieizolowany półprodukt;intermediário não isolado;intermediar neizolat;neizolovaný medziprodukt;neizolirani vmesni produkt;icke-isolerad mellanprodukt;ikke-isolert mellomprodukt;ekki einangrað milliefni
on-site isolated intermediate;изолиран междинен продукт на място;izolovaný meziprodukt na místě;på stedet isoleret mellemprodukt;vor Ort isoliertes Zwischenprodukt;επί τόπου απομονωμένος ενδιάμεσος;intermedio aislado in situ;kohapeal isoleeritud vaheühend;paikalla eristetty välituote;intermédiaire isolé sur site;na licu mjesta izolirani međuproizvod;helyszínen izolált intermedier;intermedio isolato in loco;vietoje izoliuotas tarpinis produktas;uz vietas izolēts starpprodukts;intermedju iżolat fuq il-post;ter plaatse geïsoleerd tussenproduct;izolowany półprodukt na miejscu;intermediário isolado no local;intermediar izolat la fața locului;na mieste izolovaný medziprodukt;na kraju samem izolirani vmesni produkt;på plats isolerad mellanprodukt;på stedet isolert mellomprodukt;einangrað milliefni á staðnum
synthesis;синтез;syntéza;syntese;Synthese;σύνθεση;síntesis;süntees;synteesi;synthèse;sinteza;szintézis;sintesi;sintezė;sintēze;sintesi;synthese;synteza;síntese;sinteză;syntéza;sinteza;syntes;syntese;myndun
